Seq,Name,Age
299,Randall Cross,25
300,Winifred Holland,57
301,Stanley Higgins,40
302,Olivia Ramos,59
303,Janie Vaughn,45
304,Blake Farmer,24
305,Antonio Wright,49
306,Claudia Schmidt,54
307,Elva Ryan,39
308,James Mann,21
309,Nathan Norman,19
310,Kathryn Doyle,59
311,Harvey Walton,40
312,Harriett Porter,30
313,Harriet Gonzalez,54
314,Mike Rodgers,55
315,Maud Rhodes,60
316,Andre Ingram,33
317,Zachary Sparks,25
318,Josie Massey,58
319,Mark Patrick,57
320,Clarence Watts,31
321,Sallie Caldwell,33
322,Daisy Graham,41
323,Calvin Wagner,36
324,Bill Morton,54
325,Willie Arnold,23
326,Lily Walton,49
327,Linnie Weaver,26
328,Caroline Harmon,47
329,Emily Mann,42
330,Max Cummings,54
331,Gabriel Barnes,61
332,Celia Chambers,41
333,Nora Cortez,42
334,Tommy Cobb,27
335,Brandon Thomas,37
336,Lela Barton,27
337,Edith Reed,65
338,Matthew Wheeler,40
339,Todd Tucker,61
340,Maurice Reed,40
341,Barry Schultz,39
342,Myrtle Chapman,39
343,Brett Montgomery,46
344,Martha Nichols,26
345,Troy Carson,22
346,Adeline Freeman,53
347,Ollie Simpson,22
348,Eula Hubbard,25
349,Jon Turner,35
350,Viola Parker,24
351,Rosie Foster,41
352,Earl Carlson,33
353,Clyde Blake,20
354,Cecilia Turner,63
355,Aiden Moran,50
356,Ryan Price,56
357,Edith Hughes,18
358,Elnora Glover,29
359,Lydia Edwards,63
360,Trevor Hunt,50
361,Leila Ramos,52
362,Mason Valdez,51
363,Duane Nichols,24
364,Rosetta Alvarez,57
365,Dylan Shaw,28
366,Theresa Summers,52
367,Tyler Singleton,58
368,Cole Powell,25
369,Howard Collier,62
370,Bess Duncan,42
371,Mabelle Porter,21
372,Cole Dunn,25
373,Willie Snyder,49
374,Ellen Welch,21
375,Roger Rowe,18
376,Frances Jackson,61
377,Clyde Foster,24
378,Lora Carson,28
379,Nelle Freeman,60
380,Brent Strickland,33
381,Danny Ward,57
382,Vincent Reid,18
383,Kathryn Powers,18
384,Gary Barton,54
385,Lester Ford,24
386,Hannah Guzman,39
387,George Hunter,38
388,Dylan Sandoval,59
389,Rose Young,45
390,Douglas Singleton,30
391,Brett Jefferson,49
392,Jimmy Singleton,39
393,Andrew Duncan,25
394,Edward Herrera,18
395,Hattie Lynch,49
396,Bertha Salazar,20
397,Luella Goodman,62
398,Lydia Bowen,37
399,Christian Paul,50
400,Lulu Washington,36
401,Susie Ward,36
402,Gabriel Davidson,51
403,Frances Hayes,62
404,Max Todd,40
405,Ray Rodriquez,19
406,Clayton Bryan,28
407,Joe Sandoval,62
408,Phoebe Daniel,34
409,Jerry Moreno,20
410,Rosetta Smith,52
411,Danny Sims,19
412,Lucile Jensen,46
413,Sophie Walker,50
414,Nelle Collier,20
415,Tommy Campbell,54
416,Caleb Woods,41
417,Russell Griffith,64
418,Dennis Chandler,59
419,Erik Love,53
420,Keith Carter,33
421,Lucile Ford,24
422,Birdie Davidson,27
423,Chris Herrera,26
424,Micheal Reyes,22
425,Ada French,22
426,Arthur Lucas,24
427,Irene Tucker,36
428,Jose Norton,41
429,Anne Romero,49
430,Birdie Love,45
431,Melvin Reese,27
432,Andre Jones,51
433,Travis Martin,59
434,Michael Townsend,21
435,Gene Gibbs,25
436,Estella Graham,46
437,Dennis Hardy,33
438,Andre Ramirez,33
439,Loretta Reynolds,46
440,Justin Perez,28
441,Lettie Mendoza,36
442,Lucille Flowers,30
443,Mable Wise,25
444,Jimmy Kelley,19
445,Theresa Ortiz,34
446,Laura Richardson,30
447,Genevieve Clark,41
448,Catherine Holmes,58
449,Cody Perez,36
450,Winnie Jackson,62
451,Max McDonald,56
452,Brian Vargas,58
453,Logan Elliott,23
454,Lydia Ryan,19
455,Agnes Jones,33
456,Louise Bass,65
457,Estelle Abbott,59
458,Tyler Brewer,43
459,Cordelia Ingram,35
460,Tillie Dean,45
461,Thomas Nguyen,51
462,Amy Dunn,64
463,Amelia Garrett,59
464,Jeremy Morales,52
465,Alan Wolfe,44
466,Lloyd Ray,24
467,Lena Page,45
468,Calvin Wong,23
469,Paul Chavez,63
470,Lucille Schmidt,63
471,Mayme Jensen,54
472,Loretta Bell,32
473,Rosa Delgado,21
474,Ricky Brewer,52
475,Gabriel Johnston,47
476,Mitchell Reed,52
477,Lola Cannon,27
478,Mabelle Maxwell,30
479,Alex Harrison,44
480,Clarence McCarthy,59
481,Cameron Edwards,45
482,Bryan Burke,53
483,Wayne Wheeler,56
484,George Hampton,55
485,Dustin Henderson,28
486,Jay Schneider,50
487,Darrell Porter,23
488,Dean Marsh,45
489,Mabel Spencer,39
490,Sophie Hunt,33
491,George Gonzalez,61
492,Hallie Lindsey,23
493,Jason Chandler,18
494,Garrett Phillips,65
495,Jessie Tran,65
496,Effie Powers,30
497,Elnora Bell,26
498,Daniel Hines,59
499,Jorge Ward,64
500,Henrietta Sparks,57
501,Harriett Benson,52
502,Chester Newman,50
503,Garrett Barnett,19
504,Francisco Baldwin,44
505,Herman Adkins,25
506,Jeremy Snyder,47
507,Gertrude Boyd,58
508,Julia Bryan,23
509,Allie Ortega,51
510,Cecilia Santos,55
511,Jeffrey Ramsey,22
512,Virginia Miles,43
513,Caleb Bennett,44
514,Raymond Ramirez,25
515,Marian Banks,49
516,Leroy Hines,37
517,Stephen Flores,46
518,Tyler Matthews,42
519,Hulda Lynch,45
520,Terry Paul,44
521,Ethel Fleming,48
522,Mathilda Cole,46
523,Timothy Russell,41
524,Celia Hanson,26
525,Josephine Mendoza,45
526,Augusta Abbott,35
527,Randall Edwards,25
528,Effie Aguilar,53
529,Elsie Garcia,59
530,Laura Gregory,24
531,Owen Salazar,32
532,Johanna Davis,64
533,Willie Griffin,36
534,Thomas Bush,37
535,Micheal Phillips,22
536,Betty Valdez,61
537,Violet Bowers,56
538,Jessie Boone,63
539,Jackson Ramsey,19
540,Marvin Hamilton,46
541,Dorothy Shelton,31
542,Lucy Collier,59
543,Jennie Rose,52
544,Dennis Howard,45
545,Myra Silva,50
546,Zachary Moreno,41
547,Bernard Torres,34
548,Cole Young,21
549,Fanny Day,26
550,Rosa Gill,46
551,Elizabeth Santiago,58
552,Gregory Vega,56
553,Millie Cortez,59
554,Gene Murray,18
555,Alexander Bowman,23
556,Jeffery Harris,64
557,Vernon Lewis,40
558,Bradley Fowler,38
559,Luke Stewart,31
560,Frank Colon,40
561,Eula Barrett,62
562,Pauline Ramsey,18
563,Kenneth Robbins,49
564,Julian Vaughn,35
565,Mathilda Palmer,21
566,Barry Burns,65
567,Linnie McKenzie,35
568,Eva Obrien,23
569,Eddie Harrison,64
570,Evelyn Vaughn,41
571,Brandon Bates,42
572,Lilly Harrington,23
573,Matthew Ellis,42
574,Alice West,21
575,Sophie Sanchez,46
576,Lester Aguilar,51
577,Isaac Coleman,43
578,Anthony Hall,50
579,Della Jones,51
580,John Norton,46
581,Melvin Barker,63
582,Howard McGee,44
583,Harriett Norris,56
584,Adeline Hardy,55
585,Frank Long,61
586,Sylvia Boone,42
587,Carrie Morris,52
588,Jesse Salazar,47
589,Devin Medina,45
590,Betty Harmon,32
591,Arthur Murray,25
592,Cameron Snyder,25
593,Herbert Collier,42
594,Thomas Schneider,63
595,Theresa Hanson,58
596,Emily Colon,43
597,Caroline Kim,47
598,Linnie Malone,22
599,Chester Hanson,21
600,Gussie Perry,53
601,May Evans,60
602,Essie Atkins,22
603,Louise Brewer,47
604,Nathan Blair,59
605,Estelle Weber,48
606,Lewis Saunders,37
607,Sylvia Harvey,36
608,Nancy Anderson,58
609,Henrietta Figueroa,25
610,Bryan Hogan,36
611,Roy Black,42
612,Lou Lloyd,50
613,Patrick French,44
614,Isabel Barton,63
615,Miguel Copeland,50
616,Addie George,53
617,Brent Rowe,42
618,Benjamin Mullins,19
619,Lois Byrd,24
620,Sophie Santos,34
621,Sue Padilla,32
622,Lina James,44
623,Katherine Matthews,34
624,Mike Shelton,33
625,Elmer Reid,53
626,Luke Miles,43
627,Nettie Gray,50
628,Rebecca Gardner,61
629,Bertha Bell,42
630,Dorothy Curry,33
631,Troy Tate,50
632,Addie Manning,27
633,Teresa Fernandez,54
634,Michael Myers,42
635,Victoria Soto,22
636,Margaret Allen,63
637,Johnny Stewart,33
638,Gabriel Brock,30
639,Daisy Harvey,59
640,Elsie Lynch,61
641,Mario Marshall,48
642,Katharine Ramsey,63
643,Birdie Gomez,47
644,Edward Craig,21
645,Angel Cook,34
646,Timothy Jones,27
647,Aiden Roy,43
648,Alberta Munoz,56
649,Mildred Peters,62
650,Owen Roberts,22
651,Martha Morris,40
652,Jordan Moore,41
653,Mable Manning,44
654,Nathan Sharp,55
655,Luella Bowman,41
656,Gordon Cohen,19
657,Christopher Stokes,42
658,Dennis Edwards,20
659,Katie Gross,39
660,Jayden May,25
661,Chase Pearson,40
662,Mable Santiago,20
663,Martin Jennings,30
664,Harriett Love,54
665,Emilie Walton,34
666,Dustin Singleton,65
667,Nell Aguilar,52
668,Amy Carson,54
669,Estella Collier,54
670,Nicholas Klein,32
671,Todd Grant,47
672,Harriett Potter,63
673,Adeline Chambers,36
674,Luke Guerrero,52
675,Logan Bowman,52
676,Scott Walsh,22
677,Essie Franklin,65
678,Emilie Lynch,57
679,Callie Ortega,55
680,Eunice Rios,22
681,Agnes Parker,63
682,Chad Cannon,24
683,Amelia Stone,56
684,Ethan Hale,35
685,Lora Byrd,42
686,Daisy Maldonado,19
687,Lelia Aguilar,40
688,Lettie Simmons,57
689,Mable Marsh,37
690,Gussie Tran,27
691,Jessie Harvey,34
692,Lelia Henry,28
693,Nellie Smith,35
694,Emma Yates,37
695,Florence Schneider,38
696,Jayden Webster,53
697,Nellie Porter,49
698,Derrick Holland,51
699,Bobby Reid,50
700,Jason Estrada,50
701,Marion Jenkins,45
702,Bess Chapman,58
703,Joe Fowler,33
704,Mario Patterson,55
705,Lela Martin,33
706,Patrick Hogan,61
707,Nettie Butler,57
708,Pauline Moore,19
709,Rosetta Herrera,47
710,Olga Watts,51
711,Douglas Phillips,61
712,Nina Morton,28
713,Jennie Saunders,29
714,Ruby Clarke,29
715,Melvin Price,25
716,Donald Nichols,60
717,Curtis Hart,50
718,Caleb Todd,30
719,Hilda Bishop,58
720,Jacob Dixon,52
721,Marcus Sherman,43
722,Eugenia Ortega,40
723,Rhoda Brewer,19
724,Jeremy Ramsey,27
725,Lula Padilla,65
726,Hattie Rodgers,45
727,Fannie Grant,23
728,Edgar Allison,51
729,Florence Jimenez,62
730,Harriet Dawson,53
731,Russell Jones,53
732,Brent Delgado,53
733,Anthony Morrison,37
734,Peter Green,45
735,Lewis Reynolds,45
736,Carl Sims,47
737,Ola Washington,59
738,Mae Schwartz,50
739,Lulu Butler,31
740,Violet Horton,29
741,Dustin Stephens,47
742,Alan Morrison,30
743,Jon Ramirez,33
744,Aaron Santiago,58
745,Roxie Morales,56
746,Emma Goodman,45
747,Theresa Cunningham,57
748,Violet Kelly,46
749,Bruce Tran,56
750,Cordelia Sherman,65
751,Adeline Stevenson,45
752,Dora Harrington,26
753,Joe Perkins,53
754,Adelaide Reed,46
755,Eula Pierce,49
756,May Miles,54
757,Ethan Newman,29
758,Leona Blake,64
759,Hannah Barrett,58
760,Nancy Delgado,32
761,George Price,36
762,Don Fisher,49
763,Dale Jensen,33
764,Gussie Buchanan,39
765,Joseph McLaughlin,28
766,Mattie Powers,27
767,Amelia Warner,53
768,Francis McCormick,54
769,Myrtle Cole,60
770,Minnie Collins,41
771,Vernon Conner,54
772,Christopher Chapman,45
773,Bess Spencer,40
774,Albert Anderson,56
775,Matthew Cummings,23
776,Leona Patton,29
777,Kevin Hicks,63
778,Gertrude Dixon,45
779,Amelia Armstrong,27
780,Irene Flowers,36
781,Fanny Carroll,63
782,Flora Cobb,33
783,Curtis Austin,27
784,Pearl Willis,33
785,Hulda Lawson,21
786,Hilda Crawford,56
787,Cameron Wilkerson,40
788,Matilda Jordan,57
789,Ellen Potter,63
790,Curtis Fitzgerald,38
791,Ophelia Larson,58
792,Virginia Simon,65
793,Todd Parker,23
794,Ollie Ray,38
795,Travis Powell,29
796,Sophie Steele,36
797,Franklin Jackson,54
798,Ina Mann,18
799,Theresa Carter,57
800,Angel Tran,55
801,Charlotte Green,43
802,Bertha Owens,24
803,Verna Lamb,46
804,Max Hopkins,42
805,Allie Pena,22
806,Ann Peters,48
807,Clarence Lambert,24
808,Jared Lucas,60
809,Lida Boyd,34
810,Brian Watkins,57
811,Nora Cohen,35
812,Terry Greene,63
813,Alexander Herrera,39
814,Betty Mills,58
815,Jane Lucas,22
816,Alta Hart,25
817,Ronald Fields,62
818,Gavin Collier,19
819,Patrick Collins,47
820,Howard Mullins,51
821,Norman Webster,28
822,Mabelle Pena,21
823,Carl Delgado,52
824,Walter Francis,24
825,Hunter Smith,58
826,Katharine Blake,27
827,Mabel Graham,36
828,Manuel Nunez,30
829,Clifford Campbell,60
830,Ophelia Gonzalez,61
831,Samuel Patterson,37
832,Anne Carson,57
833,Ricardo Wong,35
834,Jean Pope,55
835,Georgie Parker,26
836,Lettie Scott,37
837,Scott Pope,45
838,Thomas Stone,29
839,Pearl Daniels,19
840,Alexander Medina,59
841,Mary Mason,30
842,Marcus Ray,55
843,Jennie Keller,30
844,Gerald Huff,64
845,David Rogers,25
846,Mable Goodman,38
847,Barbara Griffin,34
848,Chase Gibson,36
849,Elmer Crawford,47
850,Iva Roberts,35
851,Victor Owens,65
852,Clayton Harris,61
853,Myrtle Reynolds,62
854,Bernice Schultz,62
855,Stella Baldwin,41
856,Lola Ramos,50
857,Raymond Goodwin,32
858,Glenn Marsh,61
859,Bess Armstrong,33
860,Miguel Houston,55
861,Patrick Walters,38
862,Mae Dunn,36
863,Lydia Castillo,49
864,Cynthia Hill,28
865,Adeline Adams,42
866,Ellen Wells,29
867,Lottie Yates,26
868,Pauline Benson,34
869,Randy McDonald,58
870,Marvin Foster,59
871,Lulu Robinson,56
872,Bobby Washington,53
873,Randall McGee,54
874,Jack Mills,35
875,Emilie Fernandez,48
876,Caroline Pena,46
877,Eunice Leonard,21
878,Nora Young,50
879,Lydia McDaniel,52
880,Virgie Sims,31
881,Ora Nguyen,24
882,Willie Brown,28
883,Juan Mullins,41
884,Beatrice Lloyd,59
885,Pauline Schmidt,21
886,Linnie Garrett,56
887,Katie Martinez,59
888,Trevor Harvey,24
889,Emily Williams,21
890,Emilie Stephens,54
891,Delia Cruz,52
892,Cameron Greer,58
893,Lula Maxwell,41
894,Bruce Reed,65
895,Kate Chambers,60
896,Theodore Johnston,50
897,Elnora Lucas,33
898,Lura Freeman,41
899,Frank Alvarado,29
900,Raymond Rowe,21
901,Ronald Swanson,35
902,Viola Bass,64
903,Winifred Stone,61
904,Marguerite Carlson,31
905,Lee Mack,62
906,Rhoda Pearson,28
907,Willie Bailey,35
908,Lettie Sherman,28
909,Essie Campbell,54
910,Adrian Wolfe,64
911,Clifford Nguyen,55
912,Charlie Owen,30
913,Adam Becker,44
914,Ivan Swanson,37
915,Ellen Hale,18
916,Francisco Hardy,62
917,Bradley Bryant,40
918,Victor Walsh,31
919,Ina Dunn,60
920,Ivan Willis,48
921,Rodney Brady,39
922,Effie Huff,53
923,Essie Long,41
924,Rodney Rivera,64
925,Curtis Blair,35
926,Lola Ramirez,51
927,Effie Clark,29
928,Roy Howard,24
929,Randy Sandoval,53
930,Samuel Harrington,26
931,Mattie Curtis,42
932,Elva Quinn,23
933,Jeanette Brock,21
934,Zachary Silva,43
935,Harry Osborne,27
936,Dominic Howell,26
937,Grace Malone,57
938,Owen Hamilton,25
939,Cynthia Weaver,20
940,Etta Marshall,49
941,Dale Hall,19
942,Mollie Moran,61
943,Amy Lyons,48
944,Alberta Moore,38
945,Joe McCarthy,48
946,Esther Bates,34
947,Ola Peters,29
948,Carrie Malone,32
949,Sarah Jimenez,44
950,Ian Schultz,39
951,Jonathan Williamson,35
952,Phillip Gardner,62
953,Mabel Coleman,62
954,Barry Barber,45
955,Hilda Sherman,24
956,Margaret Butler,64
957,Laura Stevens,54
958,Matilda Olson,64
959,Lucas Murphy,27
960,Leroy Peters,49
961,Lena Norton,18
962,Clarence Mitchell,24
963,Harriet Richardson,54
964,Steven Freeman,32
965,Glen Carroll,52
966,Violet Horton,21
967,Eleanor Bowen,48
968,Cameron Nunez,37
969,Lettie Holt,30
970,Clayton Fox,41
971,Roxie Johnston,61
972,Nicholas Romero,63
973,Caleb McBride,54
974,Edith Simon,64
975,Elizabeth Payne,42
976,Bernard Fletcher,24
977,Abbie Ruiz,19
978,Tyler Abbott,26
979,Lettie Barnett,48
980,Estelle Elliott,42
981,Dora Lynch,48
982,Glen Greer,64
983,Florence Jennings,54
984,Augusta Roberts,52
985,Ivan Park,58
986,Lelia Lambert,39
987,Barry Schmidt,19
988,Lida Park,34
989,Lillie Lyons,38
990,Ivan Edwards,51
991,Jayden Stevens,59
992,Gary Hale,60
993,Matthew Mathis,37
994,Angel West,56
995,Devin Perkins,38
996,Charlotte Cooper,34
997,Don Clayton,59
998,Edwin Norman,46
999,Michael Jones,52
1000,Bernice Wright,57
1001,Peter Yates,57
1002,Bess Reed,58
1003,Nelle Rogers,48
1004,Connor Martin,35
1005,Callie Cunningham,32
1006,Harold Miller,33
1007,Essie Ramirez,22
1008,Ella Riley,29
1009,Genevieve Palmer,44
1010,Hester Bell,19
1011,Victor Blake,28
1012,Lee Turner,38
1013,Johanna Reese,53
1014,Cory Moody,62
1015,Edward Gonzales,58
1016,Shawn Peters,60
1017,Lydia Fox,55
1018,Brent Watkins,27
1019,Lina Sullivan,19
1020,Jeremy Hart,64
1021,Lily Garrett,32
1022,Craig Byrd,36
1023,Jared Hart,36
1024,Victor Payne,34
1025,Daisy Romero,55
1026,John Bradley,29
1027,Jackson Armstrong,63
1028,Andrew Little,56
1029,Elsie Stewart,43
1030,Rachel Chapman,19
1031,Lora Bridges,48
1032,Franklin Flowers,33
1033,Clifford Morrison,41
1034,Brandon Maxwell,33
1035,Estelle Elliott,58
1036,Winifred Massey,64
1037,Irene Porter,60
1038,Augusta McCoy,60
1039,Lela Pena,33
1040,Gertrude Peters,47
1041,Emilie Vaughn,56
1042,Ola James,51
1043,Ralph Hudson,38
1044,Andrew Todd,64
1045,Amelia Rodriguez,21
1046,Mike Powers,47
1047,Russell Owens,45
1048,Hannah Webb,65
1049,David Patrick,45
1050,Cordelia Cunningham,46
1051,Carolyn Murphy,29
1052,Landon Bennett,36
1053,Jerome Gomez,57
1054,Jordan Mann,59
1055,Tony Walsh,31
1056,Minerva Todd,46
1057,Annie Griffin,26
1058,Joseph Martinez,31
1059,Max McGee,32
1060,Marc Simmons,53
1061,Olive Palmer,41
1062,Kathryn Weber,55
1063,Luis Buchanan,47
1064,Douglas Cain,30
1065,Cody Payne,19
1066,Nellie Collins,46
1067,Glen Crawford,55
1068,Jessie Reynolds,18
1069,Robert Garcia,38
1070,Tommy Figueroa,47
1071,Eddie Montgomery,26
1072,Ray Barnett,55
1073,Gregory Phelps,59
1074,Christine McDaniel,55
1075,Barry Nguyen,40
1076,Vincent Francis,44
1077,Irene Delgado,52
1078,Edna Gardner,60
1079,Miguel Moss,43
1080,Clara Young,49
1081,Tom Roberts,21
1082,Maud Daniels,48
1083,Barbara Floyd,18
1084,Floyd Lane,35
1085,Dale Klein,47
1086,Jerry Lewis,51
1087,Allen Barnes,43
1088,Jerry Morris,63
1089,Anthony Jordan,43
1090,Myrtle Rhodes,26
1091,Chester Munoz,44
1092,Nicholas Pittman,52
1093,Adeline Bennett,27
1094,Mike Douglas,48
1095,Margaret Bradley,65
1096,Daisy Vega,28
1097,Chris Long,23
1098,Trevor Gonzalez,24
1099,Jean Sharp,46
1100,Myrtle Hodges,29
1101,Clara Murphy,20
1102,Cody Clark,47
1103,Ola Flowers,59
1104,Sophia Butler,65
1105,Isaiah Fuller,63
1106,Lucinda Sanchez,18
1107,Brandon Chandler,50
1108,Rhoda Chavez,44
1109,Jack Willis,44
1110,Isabel Allen,36
1111,Annie Beck,25
1112,Mary Mack,63
1113,Brett Logan,55
1114,Lucinda Santos,60
1115,Victoria Grant,59
1116,Kenneth Jennings,42
1117,Harvey Gray,24
1118,Roger Medina,39
1119,Polly McDonald,19
1120,Hulda Summers,18
1121,Dustin Copeland,57
1122,Leon Roberts,64
1123,Jacob Day,63
1124,Lelia Poole,25
1125,Josephine Terry,51
1126,Luella Hines,36
